modern_site_code,class,year_1870,year_2017
ASFQ25,Settlements,NA,1
ASFQ25,Tea Plantations,NA,0.5
ASFQ25,Timber Plantations,NA,0.5
ASFQ27,Agricultural Land,NA,1
ASFQ27,Tea Plantations,NA,0.33333333333333337
ASFQ27,Timber Plantations,NA,1
ASFQ28,Agricultural Land,NA,1
ASFQ28,Tea Plantations,NA,1
ASFQ28,Timber Plantations,NA,1
ASFQ29,Timber Plantations,NA,1
ASFQ3,Shola Forest,NA,1
ASFQ3,Timber Plantations,NA,1
ASFQ31,Agricultural Land,NA,1
ASFQ31,Settlements,NA,0.5
ASFQ31,Tea Plantations,NA,0.5
ASFQ31,Timber Plantations,NA,1
ASFQ32,Agricultural Land,NA,0.5
ASFQ32,Settlements,NA,1
ASFQ32,Tea Plantations,NA,0.5
ASFQ32,Timber Plantations,NA,1
ASFQ34,Tea Plantations,NA,1
ASFQ36,Tea Plantations,NA,1
ASFQ37,Agricultural Land,NA,1
ASFQ37,Settlements,NA,0.5
ASFQ37,Tea Plantations,NA,0.16666666666666666
ASFQ37,Timber Plantations,NA,1
ASFQ39,Agricultural Land,NA,0.25
ASFQ39,Settlements,NA,0.25
ASFQ39,Tea Plantations,NA,0.16666666666666666
ASFQ41,Agricultural Land,NA,1
ASFQ41,Tea Plantations,NA,1
ASFQ42,Agricultural Land,NA,0.3333333333333333
ASFQ42,Settlements,NA,0.5
ASFQ42,Tea Plantations,NA,0.3333333333333333
ASFQ42,Timber Plantations,NA,0.5
ASFQ43,Timber Plantations,NA,0.3333333333333333
ASFQ46,Settlements,NA,1
ASFQ46,Tea Plantations,NA,1
ASFQ48,Settlements,NA,1
ASFQ48,Tea Plantations,NA,1
ASFQ50,Agricultural Land,NA,0.25
ASFQ50,Settlements,NA,1
ASFQ50,Tea Plantations,NA,0.5
ASFQ50,Timber Plantations,NA,1
ASFQ51,Settlements,NA,1
ASFQ51,Tea Plantations,NA,1
ASFQ51,Timber Plantations,NA,1
ASFQ52,Settlements,NA,1
ASFQ52,Tea Plantations,NA,1
ASFQ52,Timber Plantations,NA,1
ASFQ53,Agricultural Land,NA,1
ASFQ53,Tea Plantations,NA,1
ASFQ56,Agricultural Land,NA,1
ASFQ56,Tea Plantations,NA,0.3333333333333333
ASFQ56,Timber Plantations,NA,1
ASFQ58,Shola Forest,NA,1
ASFQ58,Tea Plantations,NA,0.3333333333333333
ASFQ58,Timber Plantations,NA,0.5
ASFQ59,Tea Plantations,NA,0.16666666666666666
ASFQ59,Timber Plantations,NA,1
ASFQ60,Shola Forest,NA,1
ASFQ60,Tea Plantations,NA,1
ASFQ60,Timber Plantations,NA,1
ASFQ61,Timber Plantations,NA,1
ASFQ62,Tea Plantations,NA,1
ASFQ62,Timber Plantations,NA,0.3333333333333333
ASFQ63,Settlements,NA,0.5
ASFQ63,Shola Forest,NA,1
ASFQ63,Tea Plantations,NA,0.5
ASFQ63,Timber Plantations,NA,0.3333333333333333
ASFQ65,Timber Plantations,NA,0.3333333333333333
ASFQ68,Agricultural Land,NA,0.5
ASFQ68,Settlements,NA,0.33333333333333337
ASFQ68,Tea Plantations,NA,0.3333333333333333
ASFQ71,Tea Plantations,NA,0.5
ASFQ71,Timber Plantations,NA,0.3333333333333333
ASFQ72,Tea Plantations,NA,1
ASFQ73,Timber Plantations,NA,1
ASFQ75,Tea Plantations,NA,1
ASFQ75,Timber Plantations,NA,0.19999999999999998
ASFQ76,Timber Plantations,NA,1
ASFQ77,Tea Plantations,NA,1
ASFQ77,Timber Plantations,NA,1
ASFQ78,Shola Forest,NA,1
ASFQ78,Timber Plantations,NA,1
ASFQ8,Shola Forest,NA,1
ASFQ8,Timber Plantations,NA,1
AVLC1,Shola Forest,NA,1
AVLC1,Tea Plantations,NA,0.5
AVLC1,Timber Plantations,NA,1
AVLC2,Shola Forest,NA,1
AVLC2,Tea Plantations,NA,1
AVLC2,Timber Plantations,NA,1
BGOT1,Agricultural Land,NA,0.3333333333333333
BGOT1,Settlements,NA,1
BGOT1,Tea Plantations,NA,0.3333333333333333
BGOT1,Timber Plantations,NA,1
BVLR1,Settlements,NA,0.33333333333333337
BVLR1,Timber Plantations,NA,1
CNRG1,Agricultural Land,NA,0.3333333333333333
CNRG1,Settlements,NA,1
CNRG1,Tea Plantations,NA,0.3333333333333333
CNRG1,Timber Plantations,NA,1
CNRG2,Agricultural Land,NA,0.5
CNRG2,Settlements,NA,0.5
CNRG2,Tea Plantations,NA,1
DDBT1,Shola Forest,NA,1
DDBT1,Timber Plantations,NA,0.33333333333333337
EMVL1,Tea Plantations,NA,0.3333333333333333
EMVL1,Timber Plantations,NA,0.5
EMVL2,Settlements,NA,1
EMVL2,Tea Plantations,NA,0.5
EMVL2,Timber Plantations,NA,1
FHEK1,Tea Plantations,NA,0.5
FHEK1,Timber Plantations,NA,0.25
GDLR2,Timber Plantations,NA,1
GVSL1,Agricultural Land,NA,0.5
GVSL1,Settlements,NA,1
GVSL1,Tea Plantations,NA,0.14285714285714285
GVSL1,Timber Plantations,NA,1
HTHP1,Tea Plantations,NA,1
HTHP1,Timber Plantations,NA,1
KDND1,Agricultural Land,NA,0.5
KDND1,Tea Plantations,NA,0.5
KDND1,Timber Plantations,NA,0.5
KKTG1,Settlements,NA,0.33333333333333337
KKTG1,Tea Plantations,NA,1
KKTG1,Timber Plantations,NA,1
KLHT1,Agricultural Land,NA,0.5
KLHT1,Settlements,NA,0.3333333333333333
KLHT1,Tea Plantations,NA,0.5
KMFD1,Agricultural Land,NA,0.3333333333333333
KMFD1,Tea Plantations,NA,1
KMFD1,Timber Plantations,NA,1
KMFD2,Settlements,NA,1
KMFD2,Tea Plantations,NA,0.5
KMFD2,Timber Plantations,NA,1
KNSL1,Settlements,NA,1
KNSL1,Tea Plantations,NA,0.5
KNSL1,Timber Plantations,NA,0.3333333333333333
KUKL1,Agricultural Land,NA,1
KUKL1,Settlements,NA,0.5
KUKL1,Tea Plantations,NA,1
LDNH2,Agricultural Land,NA,1
LDNH2,Tea Plantations,NA,0.2
LDNH2,Timber Plantations,NA,0.5
LWSL1,Settlements,NA,1
