scientific_name,common_name,species_code,eBird_codes
Psittacula cyanocephala,Plum-headed Parakeet,PHP,PHPA
Saxicola caprata,Pied Bushchat,PBC,PIBU
Clamator jacobinus,Pied Cuckoo,NA,PICU
Geokichla wardii,Pied Thrush,NA,PITH
Prinia inornata,Plain Prinia,NA,PLPR
Pellorneum ruficeps,Puff-throated Babbler,PTB,PTBA
Cinnyris asiaticus,Purple Sunbird,PS,PUSU
Coturnix coromandelica,Rain Quail,NA,RAQU
Lophotriorchis kienerii,Rufous-Bellied Eagle,RBE,RBEA
Ficedula parva,Red-breasted Flycatcher,NA,RBFL
Amandava amandava,Red Avadavat,RA,REAV
Galloperdix spadicea,Red Spurfowl,RS,RESP
Sarcogyps calvus,Red-headed Vulture,NA,RHVU
Anthus richardi,Richard's Pipit,NA,RIPI
Columba livia,Rock Pigeon,RP,ROPI
Pastor roseus,Rosy Starling,NA,ROST
Psittacula krameri,Rose-Ringed Parakeet,RRP,RRPA
Ficedula ruficauda,Rusty-tailed Flycatcher,NA,RTFL
Argya subrufa,Rufous Babbler,RB,RUBA
Micropternus brachyurus,Rufous Woodpecker,NA,RUWO
Pycnonotus cafer,Red-vented Bulbul,RVB,RVBU
Pycnonotus jocosus,Red-whiskered Bulbul,RWB,RWBU
Vanellus indicus,Red-wattled Lapwing,RWL,RWLA
Rhipidura albogularis,Spot-breasted Fantail,NA,SBFA
Lonchura punctulata,Scaly-breasted Munia,NA,SBMU
Accipiter badius,Shikra,SKR,SHIK
Gracula indica,Southern Hill Myna,SHM,SHMY
Taccocua leschenaultii,Sirkeer Malkoha,NA,SIMA
Pericrocotus cinnamomeus,Small Minivet,NA,SMMI
Streptopelia chinensis,Spotted Dove,SD,SPDO
Picumnus innominatus,Speckled Piculet,NA,SPPI
Hypsipetes ganeesa,Square-tailed Bulbul,STB,STBU
Circaetus gallicus,Short-toed Snake-Eagle,NA,STSE
Picus xanthopygaeus,Streak-throated Woodpecker,STW,STWO
Iduna rama,Sykes's Warbler,NA,SYWA
Dumetia hyperythra,Tawny-bellied Babbler,NA,TBBA
Cyornis tickelliae,Tickell's Blue Flycatcher,TBF,TBFL
Dicaeum agile,Thick-billed Flowerpecker,NA,TBFP
Phylloscopus affinis,Tickell's Leaf Warbler,TLW,TLWA
Phylloscopus tytleri,Tytler's Leaf Warbler,NA,TYLW
Eumyias thalassinus,Verditer Flycatcher,NA,VEFL
Sitta frontalis,Velvet-fronted Nuthatch,VFN,VFNU
Loriculus vernalis,Vernal Hanging-Parrot,VHP,VHPA
Pterorhinus delesserti,Wayanad Laughingthrush,WLT,WALA
Cyornis pallidipes,White-bellied Blue Flycatcher,NA,WBBF
Dicrurus caerulescens,White-bellied Drongo,NA,WBDR
Rhipidura aureola,White-browed Fantail,NA,WBFA
Amaurornis phoenicurus,White-breasted Waterhen,WBWH,WBWA
Dryocopus javensis,White-bellied Woodpecker,NA,WBWO
Motacilla maderaspatensis,White-browed Wagtail,WBWT,WBWT
Psilopogon viridis,White-cheeked Barbet,WCB,WCBA
Phylloscopus occipitalis,Western Crowned Warbler,NA,WCWA
Motacilla alba,White Wagtail,NA,WHWA
Chrysocolaptes festivus,White-naped Woodpecker,NA,WNWO
Gallinago nemoricola,Wood Snipe,NA,WOSN
Lonchura striata,White-rumped Munia,NA,WRMU
Copsychus malabaricus,White-Rumped Shama,WRS,WRSH
Halcyon smyrnensis,White-throated Kingfisher,WTK,WTKI
Motacilla flava,Western Yellow Wagtail,NA,WYWA
Argya affinis,Yellow-billed babbler,NA,YBBA
Iole indica,Yellow-browed Bulbul,YBB,YBBU
Chrysomma sinense,Yellow-eyed Babbler,NA,YEBA
Gymnoris xanthocollis,Yellow-throated Sparrow,YTS,YTSP
