scientific_name,common_name,species_code,eBird_codes,Habitat type,Habitat.Specialization.SoIB2022,Wet.Paddy.fields,Open.Areas,Groves.Gardens.and.Plantations,Habitation,Dry.Grassland,Hill.Grassland,Wet.Grassland,High.Altitude.Grassland,Reeds,Dry.Deciduous,Hill.Shrubland,Thorny.Scrub,Rocky.Scrub,Tropical.Rainforest,Bamboo.Forest,Shola.Forest,Moist.Deciduous,Subtropical.Montane.Forest,Mixed.Forest,Oak.Forest,Coniferous.Forest,Forest.Swamp,Short.Grass.Marshes,High.Shrubbery,High.Alpine,Inland.Water,Inland.Mudflats,Coastal.Mudflats,Beaches,Pelagic.Waters,Hot.Desert,Semi.Desert,Cold.Desert,Mangrove.Swamps,Salt.Pans,Lagoons,Rivers,High.Altitude.Lakes,Brackish.Backwaters
Phaenicophaeus viridirostris,Blue-faced Malkoha,BFM,BFMA,Wooded Habitat,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ketupa zeylonensis,Brown Fish-Owl,BFO,BFOW,Wooded Habitat,None,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Lalage melanoptera,Black-headed Cuckooshrike,NA,BHCU,Wooded Habitat,Wooded Habitat,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oriolus xanthornus,Black-hooded Oriole,NA,BHOR,Wooded Habitat,Wooded Habitat,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aviceda leuphotes,Black Baza,NA,BLBA,Forest,Tropical Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicrurus macrocercus,Black Drongo,BLD,BLDR,Grassland,Grassland and Scrub,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ictinaetus malaiensis,Black Eagle,BE,BLEA,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milvus migrans,Black Kite,NA,BLKI,Generalist,None,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus godlewskii,Blyth's Pipit,NA,BLPI,Grassland,Grassland,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aquila fasciata,Bonelli's Eagle,NA,BNEA,Generalist,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
