day,month,year,modern_site_code,historical_site_code,start_time,number,time_seg,HSF,notes,scientific_name,common_name,species_code,order,family
15,3,2021,KNSL1,KNSL,7:19,8,2,S,,Argya striata,Jungle Babbler,JUBA,Passeriformes,Leiothrichidae (Laughingthrushes and Allies)
31,12,2020,KNSL1,KNSL,8:25,2,1,H,,Acridotheres fuscus,Jungle Myna,JUMY,Passeriformes,Sturnidae (Starlings)
31,12,2020,KNSL1,KNSL,8:25,2,2,S,,Acridotheres fuscus,Jungle Myna,JUMY,Passeriformes,Sturnidae (Starlings)
15,3,2021,KNSL1,KNSL,7:19,3,1,H,,Acridotheres fuscus,Jungle Myna,JUMY,Passeriformes,Sturnidae (Starlings)
15,3,2021,KNSL1,KNSL,7:19,2,3,S,,Acridotheres fuscus,Jungle Myna,JUMY,Passeriformes,Sturnidae (Starlings)
6,5,2021,KNSL1,KNSL,7:32,2,1,H,,Acridotheres fuscus,Jungle Myna,JUMY,Passeriformes,Sturnidae (Starlings)
6,5,2021,KNSL1,KNSL,7:32,2,2,H/S,,Acridotheres fuscus,Jungle Myna,JUMY,Passeriformes,Sturnidae (Starlings)
31,12,2020,KNSL1,KNSL,8:25,2,1,F,,Corvus macrorhynchos,Large-billed Crow,LBCR,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
31,12,2020,KNSL1,KNSL,8:25,2,2,F,,Corvus macrorhynchos,Large-billed Crow,LBCR,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
31,12,2020,KNSL1,KNSL,8:25,3,3,F,,Corvus macrorhynchos,Large-billed Crow,LBCR,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
15,3,2021,KNSL1,KNSL,7:19,2,2,H,,Corvus macrorhynchos,Large-billed Crow,LBCR,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
6,5,2021,KNSL1,KNSL,7:32,2,2,H/S,,Corvus macrorhynchos,Large-billed Crow,LBCR,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
31,12,2020,KNSL1,KNSL,8:25,1,1,H,,Dicaeum concolor,Nilgiri Flowerpecker,NIFP,Passeriformes,Dicaeidae (Flowerpeckers)
15,3,2021,KNSL1,KNSL,7:19,1,2,H,,Dicaeum concolor,Nilgiri Flowerpecker,NIFP,Passeriformes,Dicaeidae (Flowerpeckers)
6,5,2021,KNSL1,KNSL,7:32,1,1,H,,Dicaeum concolor,Nilgiri Flowerpecker,NIFP,Passeriformes,Dicaeidae (Flowerpeckers)
6,5,2021,KNSL1,KNSL,7:32,2,1,H,,Montecincla cachinnans,Nilgiri Laughingthrush,NILA,Passeriformes,Leiothrichidae (Laughingthrushes and Allies)
31,12,2020,KNSL1,KNSL,8:25,1,3,H,,Copsychus saularis,Oriental-Magpie Robin,OMRO,Passeriformes,Turdidae (Thrushes and Allies)
15,3,2021,KNSL1,KNSL,7:19,1,1,H,,Copsychus saularis,Oriental-Magpie Robin,OMRO,Passeriformes,Turdidae (Thrushes and Allies)
31,12,2020,KNSL1,KNSL,8:25,2,1,H,,Zosterops palpebrosus,Indian White Eye,IWEY,Passeriformes,Zosteropidae
15,3,2021,KNSL1,KNSL,7:19,3,1,H,,Zosterops palpebrosus,Indian White Eye,IWEY,Passeriformes,Zosteropidae
6,5,2021,KNSL1,KNSL,7:32,2,1,H,,Zosterops palpebrosus,Indian White Eye,IWEY,Passeriformes,Zosteropidae
6,5,2021,KNSL1,KNSL,7:32,1,2,H,,Zosterops palpebrosus,Indian White Eye,IWEY,Passeriformes,Zosteropidae
31,12,2020,KNSL1,KNSL,8:25,2,1,H,,Saxicola caprata,Pied Bushchat,PIBU,Passeriformes,Muscicapidae (Old World Flycatchers)
15,3,2021,KNSL1,KNSL,7:19,2,1,S,,Saxicola caprata,Pied Bushchat,PIBU,Passeriformes,Muscicapidae (Old World Flycatchers)
6,5,2021,KNSL1,KNSL,7:32,2,1,H,,Saxicola caprata,Pied Bushchat,PIBU,Passeriformes,Muscicapidae (Old World Flycatchers)
31,12,2020,KNSL1,KNSL,8:25,1,1,H,,Pellorneum ruficeps,Puff-throated Babbler,PTBA,Passeriformes,Pellorneidae (Ground Babblers and Allies)
31,12,2020,KNSL1,KNSL,8:25,2,2,H,,Pellorneum ruficeps,Puff-throated Babbler,PTBA,Passeriformes,Pellorneidae (Ground Babblers and Allies)
31,12,2020,KNSL1,KNSL,8:25,5,1,H,,Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Passeriformes,Pycnonotidae (Bulbuls)
31,12,2020,KNSL1,KNSL,8:25,1,1,S,,Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Passeriformes,Pycnonotidae (Bulbuls)
15,3,2021,KNSL1,KNSL,7:19,5,1,S,,Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Passeriformes,Pycnonotidae (Bulbuls)
