day,month,year,modern_site_code,historical_site_code,start_time,number,time_seg,HSF,notes,scientific_name,common_name,species_code,order,family
15,3,2021,KKTG1,KKTG,8:25,1,2,H,,Copsychus saularis,Oriental-Magpie Robin,OMRO,Passeriformes,Turdidae (Thrushes and Allies)
15,3,2021,KKTG1,KKTG,8:25,2,2,S,,Copsychus saularis,Oriental-Magpie Robin,OMRO,Passeriformes,Turdidae (Thrushes and Allies)
13,2,2021,KKTG1,KKTG,7:14,1,1,H,,Zosterops palpebrosus,Indian White Eye,IWEY,Passeriformes,Zosteropidae
13,2,2021,KKTG1,KKTG,7:14,2,3,H,,Zosterops palpebrosus,Indian White Eye,IWEY,Passeriformes,Zosteropidae
15,3,2021,KKTG1,KKTG,8:25,2,1,H,,Zosterops palpebrosus,Indian White Eye,IWEY,Passeriformes,Zosteropidae
15,3,2021,KKTG1,KKTG,8:25,2,3,H,,Zosterops palpebrosus,Indian White Eye,IWEY,Passeriformes,Zosteropidae
15,3,2021,KKTG1,KKTG,8:25,2,1,H,,Saxicola caprata,Pied Bushchat,PIBU,Passeriformes,Muscicapidae (Old World Flycatchers)
13,2,2021,KKTG1,KKTG,7:14,1,1,H,,Pellorneum ruficeps,Puff-throated Babbler,PTBA,Passeriformes,Pellorneidae (Ground Babblers and Allies)
13,2,2021,KKTG1,KKTG,7:14,1,2,H,,Pellorneum ruficeps,Puff-throated Babbler,PTBA,Passeriformes,Pellorneidae (Ground Babblers and Allies)
15,3,2021,KKTG1,KKTG,8:25,1,1,H,,Pellorneum ruficeps,Puff-throated Babbler,PTBA,Passeriformes,Pellorneidae (Ground Babblers and Allies)
13,2,2021,KKTG1,KKTG,7:14,2,1,S,,Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Passeriformes,Pycnonotidae (Bulbuls)
13,2,2021,KKTG1,KKTG,7:14,1,1,H,,Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Passeriformes,Pycnonotidae (Bulbuls)
15,3,2021,KKTG1,KKTG,8:25,3,1,H,,Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Passeriformes,Pycnonotidae (Bulbuls)
15,3,2021,KKTG1,KKTG,8:25,1,2,S,,Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Passeriformes,Pycnonotidae (Bulbuls)
13,2,2021,KKTG1,KKTG,7:14,1,3,S,,Rhipidura albogularis,Spot-breasted Fantail,SBFA,,
