season,climvar,forms,group,mae
rainy,ppt,"value ~ s(elev, k = 3) + coast + lat",1,77.20949619181951
rainy,ppt,"value ~ s(elev, k = 3) + coast + lat",2,75.3269825041294
rainy,ppt,"value ~ s(elev, k = 3) + coast + lat",3,78.75640510837238
rainy,ppt,"value ~ s(elev, k = 3) + coast + lat",4,81.06836362894376
rainy,ppt,"value ~ s(elev, k = 3) + coast + lat",5,78.65833425029119
rainy,ppt,"value ~ s(elev, k = 3) + coast + lat",6,83.72950238045057
rainy,ppt,"value ~ s(elev, k = 3) + coast + lat",7,81.61969020644824
rainy,ppt,"value ~ s(elev, k = 3) + coast + lat",8,81.43462651022276
rainy,ppt,"value ~ s(elev, k = 3) + coast + lat",9,81.90410273512205
rainy,ppt,"value ~ s(elev, k = 3) + coast + lat",10,77.42348895406722
rainy,ppt,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",1,87.27173028882345
rainy,ppt,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",2,84.67261077578863
rainy,ppt,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",3,87.91565394878387
rainy,ppt,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",4,89.08157022968928
rainy,ppt,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",5,88.0345252181689
rainy,ppt,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",6,92.11688613971074
rainy,ppt,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",7,91.80892535750071
rainy,ppt,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",8,90.07759601561229
rainy,ppt,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",9,91.12172452656428
rainy,ppt,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",10,85.93194540023804
rainy,t_mean,"value ~ s(elev, k = 3)",1,1.4734972508668895
rainy,t_mean,"value ~ s(elev, k = 3)",2,1.522531498058638
rainy,t_mean,"value ~ s(elev, k = 3)",3,1.5220122609933222
rainy,t_mean,"value ~ s(elev, k = 3)",4,1.460883704066278
rainy,t_mean,"value ~ s(elev, k = 3)",5,1.5383423397223168
rainy,t_mean,"value ~ s(elev, k = 3)",6,1.501156890384357
rainy,t_mean,"value ~ s(elev, k = 3)",7,1.489522148640951
rainy,t_mean,"value ~ s(elev, k = 3)",8,1.5186876487970355
rainy,t_mean,"value ~ s(elev, k = 3)",9,1.487188767059645
rainy,t_mean,"value ~ s(elev, k = 3)",10,1.512188808361692
rainy,t_mean,"value ~ s(elev, k = 3) + coast + lat",1,1.5495597553571054
rainy,t_mean,"value ~ s(elev, k = 3) + coast + lat",2,1.5971552813053143
rainy,t_mean,"value ~ s(elev, k = 3) + coast + lat",3,1.5811581493457163
rainy,t_mean,"value ~ s(elev, k = 3) + coast + lat",4,1.5274560312191665
rainy,t_mean,"value ~ s(elev, k = 3) + coast + lat",5,1.6107113877137513
rainy,t_mean,"value ~ s(elev, k = 3) + coast + lat",6,1.5829828299363464
rainy,t_mean,"value ~ s(elev, k = 3) + coast + lat",7,1.5408207147280375
