"scientific_name","historical_site_code","n"
"Pitta brachyura","OTCM",1
"Prinia socialis","KULR",1
"Prinia socialis","LWSL",1
"Psilopogon haemacephalus","CNRG",1
"Psilopogon haemacephalus","LWSL",1
"Psittacula columboides","CNRG",1
"Psittacula columboides","OTCM",1
"Pterorhinus delesserti","CNRG",1
"Ptyonoprogne concolor","OTCM",1
"Ptyonoprogne rupestris","OTCM",1
"Pycnonotus cafer","BGOT",1
"Pycnonotus cafer","OTCM",1
"Sarcogyps calvus","GDLR",1
"Saxicola caprata","LWSL",1
"Sholicola major","CNRG",1
"Sholicola major","NDVT",1
"Sturnia malabarica","CNRG",1
"Sturnia pagodarum","OTCM",1
"Surniculus dicruroides","CNRG",1
"Taccocua leschenaultii","LWSL",1
"Tephrodornis sylvicola","NDVT",1
"Upupa epops","OTCM",1
"Zoothera neilgherriensis","CNRG",1
"Zoothera neilgherriensis","OTCM",1
