"nbsp" "sing.sp" "FRic" "qual.FRic" "FEve" "FDiv" "FDis" "RaoQ" "Year"
"1" 67 67 0.61198877278762 1 0.625703234980347 0.704208696394803 2.404300326941 7.13686136322185 "1850"
"2" 62 62 0.779125802110756 1 0.45757428772653 0.68169892738536 2.48320611385301 8.95606506847901 "2021"
"3" 67 67 0.998610745461397 1 0.615332856604285 0.707006241423763 2.54977324405123 8.29626191756936 "1850"
"4" 62 62 0.274466741882659 1 0.535337459854661 0.731136046148245 2.3475558811069 7.2293337310917 "2021"
"5" 67 67 0.751794481373051 1 0.629812052285578 0.779881814770364 2.59783353645053 8.71430351909575 "1850"
"6" 62 62 0.936559035647426 1 0.549943252760644 0.762933108163475 2.91012558070936 10.1211485913584 "2021"
"7" 67 67 0.990435582191558 1 0.558642774459395 0.654147528172815 2.32963340924497 7.09685598283071 "1850"
"8" 62 62 0.865913055731878 1 0.377795123330742 0.755310604202446 2.61281148066703 8.19197772114108 "2021"
"9" 67 67 0.977947137922241 1 0.6684563606602 0.75107320747542 2.92862922722949 12.133445998198 "1850"
"10" 62 62 0.907762134798589 1 0.512161981859209 0.644596254567862 2.41121238452254 7.57186491200116 "2021"
"11" 67 67 0.990435582191558 1 0.651844533644232 0.745042779445562 2.79794788910584 10.3068237123248 "1850"
"12" 62 62 0.862794092400686 1 0.461603678519012 0.740673383545811 2.44282056371759 8.57986460239792 "2021"
"13" 67 67 0.995136819331123 1 0.608626510686474 0.750826919873257 2.71414953094193 9.52516721942536 "1850"
"14" 62 62 0.721163516196556 1 0.553689239994426 0.746053272252529 2.6371301213006 8.79940618247464 "2021"
"15" 67 67 0.990653629676281 1 0.594930944045848 0.727058062113346 2.55303922522757 8.03890567611019 "1850"
"16" 62 62 0.915949912263628 1 0.443271373229633 0.672363132169657 2.12568066000975 5.24688129202378 "2021"
"17" 67 67 0.987705376312911 1 0.612030488680129 0.689914141688714 2.35937155228369 6.82367392996183 "1850"
"18" 62 62 0.59317845798669 1 0.459711539194209 0.76980379792354 2.47369506913193 8.24049343572207 "2021"
