"catalogNumber","institutionCode","scientific_name","individualCount","year","month","day","locality","historical_site_code","decimalLatitude","decimalLongitude","collectedBy","coordinateUncertaintyInMeters","notes","common_name","species_code","order"
"89.2.2.276","NHM Tring","Columba elphinstonii","",1867,5,3,"Ootacamund","OTCM",NA,NA,"","","Hume coll.","Nilgiri Wood-Pigeon","NWPI","Columbiformes"
"BIB20","JournalData","Cyornis pallidipes","",1895,NA,NA,"Coonoor Ghat","CNRG",NA,NA,"A G Cardew","","Additional notes on other species of Nilgiri Birds.","White-bellied Blue Flycatcher","WBBF","Passeriformes"
" 86.4.1.3646","NHM Tring","Cyornis pallidipes","",1881,1,25,"Coonoor Ghat","CNRG",NA,NA,"W Davison","","","White-bellied Blue Flycatcher","WBBF","Passeriformes"
" 86.4.1.3647","NHM Tring","Cyornis pallidipes","",1881,3,26,"Gudalur","GDLR",NA,NA,"W Davison","","","White-bellied Blue Flycatcher","WBBF","Passeriformes"
" 86.4.1.3648","NHM Tring","Cyornis pallidipes","",1881,3,23,"Gudalur","GDLR",NA,NA,"W Davison","","","White-bellied Blue Flycatcher","WBBF","Passeriformes"
" 86.4.1.3687","NHM Tring","Cyornis pallidipes","",1874,12,1,"Kotagiri","LWSL",NA,NA,"M Cockburn","","","White-bellied Blue Flycatcher","WBBF","Passeriformes"
"9756","BNHS","Dicaeum concolor","",1874,7,14,"Kotagiri","LWSL",NA,NA,"M Cockburn","","","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.265","NHM Tring","Dicaeum concolor","",1873,2,2,"Coonoor","CNRG",NA,NA,"F Day","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.264","NHM Tring","Dicaeum concolor","",1873,3,1,"Coonoor","CNRG",NA,NA,"F Day","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.264","NHM Tring","Dicaeum concolor","",1873,3,1,"Coonoor","CNRG",NA,NA,"F Day","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.265","NHM Tring","Dicaeum concolor","",1873,2,21,"Coonoor","CNRG",NA,NA,"F Day","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.263","NHM Tring","Dicaeum concolor","",1869,5,22,"Coonoor","CNRG",NA,NA,"H R P Carter","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.263","NHM Tring","Dicaeum concolor","",1869,5,22,"Coonoor","CNRG",NA,NA,"H R P Carter","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"83.11.6.1","NHM Tring","Dicaeum concolor","",1876,2,24,"Coonoor","CNRG",NA,NA,"R G Wardlaw-Ramsay","","","Nilgiri Flowerpecker","NIFP","Passeriformes"
"88.9.12.107","NHM Tring","Dicaeum concolor","",1876,8,24,"Coonoor","CNRG",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"83.11.6.1","NHM Tring","Dicaeum concolor","",1876,8,24,"Coonoor","CNRG",NA,NA,"R G Wardlaw-Ramsay","","","Nilgiri Flowerpecker","NIFP","Passeriformes"
"88.7.12.107","NHM Tring","Dicaeum concolor","",1876,8,24,"Coonoor","CNRG",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.266","NHM Tring","Dicaeum concolor","",1881,1,28,"Coonoor","CNRG",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.267","NHM Tring","Dicaeum concolor","",1881,1,28,"Coonoor","CNRG",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.266","NHM Tring","Dicaeum concolor","",1881,1,29,"Coonoor","CNRG",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.267","NHM Tring","Dicaeum concolor","",1881,1,28,"Coonoor","CNRG",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.3699","NHM Tring","Dicaeum concolor","",1881,3,26,"Gudalur","GDLR",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.3699","NHM Tring","Dicaeum concolor","",1881,3,26,"Gudalur","GDLR",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.270","NHM Tring","Dicaeum concolor","",1870,8,24,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.271","NHM Tring","Dicaeum concolor","",1874,9,10,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.272","NHM Tring","Dicaeum concolor","",1874,12,10,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.992","NHM Tring","Dicaeum concolor","",1874,9,10,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.271","NHM Tring","Dicaeum concolor","",1874,9,10,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.269","NHM Tring","Dicaeum concolor","",1870,8,24,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.270","NHM Tring","Dicaeum concolor","",1870,8,24,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.992","NHM Tring","Dicaeum concolor","",1874,9,10,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.272","NHM Tring","Dicaeum concolor","",1874,12,10,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.269","NHM Tring","Dicaeum concolor","",1870,8,24,"Kotagiri","LWSL",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.268","NHM Tring","Dicaeum concolor","",1870,8,24,"Kotagiri","LWSL",NA,NA,"","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.268","NHM Tring","Dicaeum concolor","",1870,8,24,"Kotagiri","LWSL",NA,NA,"","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"","NHM Tring","Dicaeum concolor","",1894,7,6,"Ootacamund","OTCM",NA,NA,"J Davidson","","","Nilgiri Flowerpecker","NIFP","Passeriformes"
"","NHM Tring","Dicaeum concolor","",1894,7,6,"Ootacamund","OTCM",NA,NA,"J Davidson","","","Nilgiri Flowerpecker","NIFP","Passeriformes"
"88.7.12.106","NHM Tring","Dicaeum concolor","",1896,8,4,"Ootacamund","OTCM",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"88.7.12.106","NHM Tring","Dicaeum concolor","",1876,8,4,"Ootacamund","OTCM",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.258","NHM Tring","Dicaeum concolor","",1881,1,22,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.257","NHM Tring","Dicaeum concolor","",1881,1,20,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.260","NHM Tring","Dicaeum concolor","",1881,3,4,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.261","NHM Tring","Dicaeum concolor","",1881,3,16,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.259","NHM Tring","Dicaeum concolor","",1881,2,6,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.261","NHM Tring","Dicaeum concolor","",1881,3,16,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.258","NHM Tring","Dicaeum concolor","",1881,1,22,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.257","NHM Tring","Dicaeum concolor","",1881,1,20,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.259","NHM Tring","Dicaeum concolor","",1881,2,6,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.260","NHM Tring","Dicaeum concolor","",1881,3,4,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"89.2.1.262","NHM Tring","Dicaeum concolor","",1872,NA,NA,"Ootacamund","OTCM",NA,NA,"","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"87.2.1.262","NHM Tring","Dicaeum concolor","",1872,NA,NA,"Ootacamund","OTCM",NA,NA,"","","Hume coll.","Nilgiri Flowerpecker","NIFP","Passeriformes"
"BIB11","JournalData","Dicrurus aeneus","X",1881,NA,NA,"Ootacamund","OTCM",NA,NA,"W Davison","","","Bronzed Drongo","BRDR","Passeriformes"
"87.12.1.765","NHM Tring","Dicrurus aeneus","",1878,4,NA,"Burliar","BVLR",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Bronzed Drongo","BRDR","Passeriformes"
"86.3.1.1719","NHM Tring","Dicrurus aeneus","",1873,3,3,"Coonoor","CNRG",NA,NA,"F Day","","Hume coll.","Bronzed Drongo","BRDR","Passeriformes"
"86.3.1.1717","NHM Tring","Dicrurus aeneus","",1867,11,17,"Kullar","KULR",NA,NA,"","","Hume coll.","Bronzed Drongo","BRDR","Passeriformes"
"86.3.1.1716","NHM Tring","Dicrurus aeneus","",1867,8,25,"Kullar","KULR",NA,NA,"","","Hume coll.","Bronzed Drongo","BRDR","Passeriformes"
"86.3.1.1715","NHM Tring","Dicrurus aeneus","",1867,11,20,"Kullar","KULR",NA,NA,"","","Hume coll.","Bronzed Drongo","BRDR","Passeriformes"
"86.3.1.1720","NHM Tring","Dicrurus aeneus","",1867,5,10,"Ootacamund","OTCM",NA,NA,"","","Hume coll.","Bronzed Drongo","BRDR","Passeriformes"
"BIB11","JournalData","Dicrurus paradiseus","X",1881,NA,NA,"Ootacamund","OTCM",NA,NA,"W Davison","","","Greater Racket-tailed Drongo","GRTD","Passeriformes"
"86.3.1.2260","NHM Tring","Dicrurus paradiseus","",1873,3,1,"Coonoor","CNRG",NA,NA,"F Day","","Hume coll.","Greater Racket-tailed Drongo","GRTD","Passeriformes"
"87.12.1.1176","NHM Tring","Dicrurus paradiseus","",1878,4,NA,"Coonoor Ghat","CNRG",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Greater Racket-tailed Drongo","GRTD","Passeriformes"
"86.3.1.2252","NHM Tring","Dicrurus paradiseus","",1872,NA,NA,"Gudalur","GDLR",NA,NA,"","","Hume coll.","Greater Racket-tailed Drongo","GRTD","Passeriformes"
"86.3.1.2259","NHM Tring","Dicrurus paradiseus","",1874,12,24,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Greater Racket-tailed Drongo","GRTD","Passeriformes"
"87.12.1.1177","NHM Tring","Dicrurus paradiseus","",1876,9,12,"Kullar","KULR",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Greater Racket-tailed Drongo","GRTD","Passeriformes"
"86.3.1.2258","NHM Tring","Dicrurus paradiseus","",1867,11,16,"Kullar","KULR",NA,NA,"","","Hume coll.","Greater Racket-tailed Drongo","GRTD","Passeriformes"
"86.3.1.2257","NHM Tring","Dicrurus paradiseus","",1867,NA,NA,"Kullar","KULR",NA,NA,"","","Hume coll.","Greater Racket-tailed Drongo","GRTD","Passeriformes"
"86.3.1.2256","NHM Tring","Dicrurus paradiseus","",1867,10,16,"Kullar","KULR",NA,NA,"","","Hume coll.","Greater Racket-tailed Drongo","GRTD","Passeriformes"
"86.10.1.6521","NHM Tring","Dumetia atriceps","",1881,3,27,"Gudalur","GDLR",NA,NA,"W Davison","","Hume coll.","Dark-fronted babbler","DFBA",NA
"86.10.1.6573","NHM Tring","Dumetia atriceps","",1881,3,27,"Gudalur","GDLR",NA,NA,"W Davison","","Hume coll.","Dark-fronted babbler","DFBA",NA
"86.10.1.6524","NHM Tring","Dumetia atriceps","",1874,8,18,"Kotagiri","LWSL",NA,NA,"M Cockburn","","","Dark-fronted babbler","DFBA",NA
"86.10.1.6523","NHM Tring","Dumetia atriceps","",1881,3,10,"Kotagiri","LWSL",NA,NA,"W Davison","","","Dark-fronted babbler","DFBA",NA
"110604","USNM","Dumetia atriceps","",1882,2,14,"Coonoor","CNRG",NA,NA,"W Davison","","","Dark-fronted babbler","DFBA",NA
"33716","MCZ","Eumyias albicaudatus","",1881,5,25,"Coonoor Ghat","CNRG",11.347133,76.798495,"W Davison","3036","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3632","NHM Tring","Eumyias albicaudatus","",1869,3,15,"Coonoor","CNRG",NA,NA,"A G R Theobald","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3628","NHM Tring","Eumyias albicaudatus","",1873,2,17,"Coonoor","CNRG",NA,NA,"F Day","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3630","NHM Tring","Eumyias albicaudatus","",1873,2,26,"Coonoor","CNRG",NA,NA,"F Day","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3624","NHM Tring","Eumyias albicaudatus","",1872,9,10,"Coonoor","CNRG",NA,NA,"","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3631","NHM Tring","Eumyias albicaudatus","",1869,3,19,"Coonoor","CNRG",NA,NA,"","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3633","NHM Tring","Eumyias albicaudatus","",1870,8,24,"Coonoor","CNRG",NA,NA,"W G Wait","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"87.12.30.1208","NHM Tring","Eumyias albicaudatus","",1876,9,28,"Coonoor","CNRG",NA,NA,"R G Wardlaw-Ramsay","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"87.12.30.1204","NHM Tring","Eumyias albicaudatus","",1876,8,30,"Coonoor","CNRG",NA,NA,"R G Wardlaw-Ramsay","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"87.12.30.1205","NHM Tring","Eumyias albicaudatus","",1876,8,30,"Coonoor","CNRG",NA,NA,"R G Wardlaw-Ramsay","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"87.12.30.1207","NHM Tring","Eumyias albicaudatus","",1876,9,16,"Coonoor","CNRG",NA,NA,"R G Wardlaw-Ramsay","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"87.12.30.1396","NHM Tring","Eumyias albicaudatus","",1876,8,30,"Coonoor","CNRG",NA,NA,"R G Wardlaw-Ramsay","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"82.6.8.4","NHM Tring","Eumyias albicaudatus","",1881,10,4,"Coonoor","CNRG",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"82.6.8.5","NHM Tring","Eumyias albicaudatus","",1882,2,3,"Coonoor","CNRG",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3520","NHM Tring","Eumyias albicaudatus","",1881,1,24,"Coonoor","CNRG",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3521","NHM Tring","Eumyias albicaudatus","",1881,1,31,"Coonoor","CNRG",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3533","NHM Tring","Eumyias albicaudatus","",1881,1,27,"Coonoor","CNRG",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3526","NHM Tring","Eumyias albicaudatus","",1881,4,25,"Coonoor Ghat","CNRG",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3532","NHM Tring","Eumyias albicaudatus","",1881,1,25,"Coonoor Ghat","CNRG",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3534","NHM Tring","Eumyias albicaudatus","",1881,1,27,"Coonoor Ghat","CNRG",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3525","NHM Tring","Eumyias albicaudatus","",1877,6,9,"Kotagiri","LWSL",NA,NA,"","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3529","NHM Tring","Eumyias albicaudatus","",1872,NA,NA,"Naduvattum","NDVT",NA,NA,"","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3641","NHM Tring","Eumyias albicaudatus","",1871,NA,NA,"Naduvattum","NDVT",NA,NA,"","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3640","NHM Tring","Eumyias albicaudatus","",1871,NA,NA,"Naduvattum","NDVT",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3521","NHM Tring","Eumyias albicaudatus","",1881,2,6,"Ootacamund","OTCM",NA,NA,"","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3522","NHM Tring","Eumyias albicaudatus","",1881,2,6,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3524","NHM Tring","Eumyias albicaudatus","",1881,3,15,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3525","NHM Tring","Eumyias albicaudatus","",1881,3,4,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3526","NHM Tring","Eumyias albicaudatus","",1881,3,15,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3527","NHM Tring","Eumyias albicaudatus","",1881,2,6,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3528","NHM Tring","Eumyias albicaudatus","",1876,4,6,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3529","NHM Tring","Eumyias albicaudatus","",1876,4,5,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"86.4.1.3530","NHM Tring","Eumyias albicaudatus","",1876,4,4,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Flycatcher","NIFL","Passeriformes"
"82.6.8.24","NHM Tring","Ficedula nigrorufa","",1881,12,5,"Coonoor","CNRG",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"82.6.8.25","NHM Tring","Ficedula nigrorufa","",1882,2,6,"Coonoor","CNRG",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"82.6.8.26","NHM Tring","Ficedula nigrorufa","",1881,10,4,"Coonoor","CNRG",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3887","NHM Tring","Ficedula nigrorufa","",1881,1,29,"Coonoor","CNRG",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3888","NHM Tring","Ficedula nigrorufa","",1881,1,31,"Coonoor","CNRG",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3889","NHM Tring","Ficedula nigrorufa","",1881,1,29,"Coonoor","CNRG",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3890","NHM Tring","Ficedula nigrorufa","",1881,1,31,"Coonoor","CNRG",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3891","NHM Tring","Ficedula nigrorufa","",1869,3,17,"Coonoor","CNRG",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3893","NHM Tring","Ficedula nigrorufa","",1881,1,24,"Coonoor","CNRG",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3894","NHM Tring","Ficedula nigrorufa","",1869,4,9,"Coonoor","CNRG",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3896","NHM Tring","Ficedula nigrorufa","",1870,9,NA,"Coonoor","CNRG",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3898","NHM Tring","Ficedula nigrorufa","",1873,3,16,"Coonoor","CNRG",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"11080","NHM Tring","Ficedula nigrorufa","",1900,5,3,"Kotagiri","LWSL",NA,NA,"H Whistler","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3897","NHM Tring","Ficedula nigrorufa","",1871,NA,NA,"Naduvattum","NDVT",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3898","NHM Tring","Ficedula nigrorufa","",1881,3,15,"Naduvattum","NDVT",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3899","NHM Tring","Ficedula nigrorufa","",1881,3,26,"Naduvattum","NDVT",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3900","NHM Tring","Ficedula nigrorufa","",1881,3,26,"Naduvattum","NDVT",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3873","NHM Tring","Ficedula nigrorufa","",1881,1,20,"Ootacamund","OTCM",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3874","NHM Tring","Ficedula nigrorufa","",1881,1,11,"Ootacamund","OTCM",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3876","NHM Tring","Ficedula nigrorufa","",1881,2,5,"Ootacamund","OTCM",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3877","NHM Tring","Ficedula nigrorufa","",1881,2,8,"Ootacamund","OTCM",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3878","NHM Tring","Ficedula nigrorufa","",1881,3,15,"Ootacamund","OTCM",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3879","NHM Tring","Ficedula nigrorufa","",1881,3,19,"Ootacamund","OTCM",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3881","NHM Tring","Ficedula nigrorufa","",1876,4,3,"Ootacamund","OTCM",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3882","NHM Tring","Ficedula nigrorufa","",1876,4,15,"Ootacamund","OTCM",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.3884","NHM Tring","Ficedula nigrorufa","",1881,5,27,"Ootacamund","OTCM",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.4.1.4493","NHM Tring","Ficedula nigrorufa","",1881,2,6,"Ootacamund","OTCM",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.8.1.3875","NHM Tring","Ficedula nigrorufa","",1881,2,12,"Ootacamund","OTCM",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.8.1.3883","NHM Tring","Ficedula nigrorufa","",1881,5,27,"Ootacamund","OTCM",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"1925.12.23.482","NHM Tring","Ficedula nigrorufa","",1894,6,16,"Ootacamund","OTCM",NA,NA,"J Davidson","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"54879","ROM","Ficedula nigrorufa","",1876,5,1,"Ootacamund","OTCM",11.411611,76.695193,"","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"106520","USNM","Ficedula nigrorufa","",1882,2,3,"Coonoor","CNRG",NA,NA,"W Davison","","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"54879","NHM Tring","Ficedula nigrorufa","",1876,5,1,"Ootacamund","OTCM",11.411611,76.695193,"","3305","","Black-and-orange Flycatcher","BAOF","Passeriformes"
"86.12.29.4","NHM Tring","Galerida malabarica","",1880,12,NA,"Coonoor","CNRG",NA,NA,"A Macgregor","","","Malabar Lark","MALA","Passeriformes"
"87.7.1.3452","NHM Tring","Galerida malabarica","",1873,2,4,"Coonoor","CNRG",NA,NA,"F Day","","Hume coll.","Malabar Lark","MALA","Passeriformes"
"89.12.15.24","NHM Tring","Galerida malabarica","",1882,1,4,"Coonoor","CNRG",NA,NA,"R B Sharpe","","","Malabar Lark","MALA","Passeriformes"
"87.6.8.20","NHM Tring","Galerida malabarica","",1882,3,1,"Coonoor","CNRG",NA,NA,"W Davison","","","Malabar Lark","MALA","Passeriformes"
"87.6.8.21","NHM Tring","Galerida malabarica","",1882,2,17,"Coonoor","CNRG",NA,NA,"W Davison","","","Malabar Lark","MALA","Passeriformes"
"87.6.8.18","NHM Tring","Galerida malabarica","",1882,2,1,"Coonoor","CNRG",NA,NA,"W Davison","","","Malabar Lark","MALA","Passeriformes"
"87.7.1.3507","NHM Tring","Galerida malabarica","",1881,1,24,"Coonoor","CNRG",NA,NA,"W Davison","","Hume coll.","Malabar Lark","MALA","Passeriformes"
"87.7.1.3505","NHM Tring","Galerida malabarica","",1881,1,24,"Coonoor","CNRG",NA,NA,"W Davison","","Hume coll.","Malabar Lark","MALA","Passeriformes"
"87.7.1.3506","NHM Tring","Galerida malabarica","",1881,1,24,"Coonoor","CNRG",NA,NA,"W Davison","","Hume coll.","Malabar Lark","MALA","Passeriformes"
"87.7.1.4254","NHM Tring","Galerida malabarica","",1870,7,30,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Malabar Lark","MALA","Passeriformes"
"87.7.1.4255","NHM Tring","Galerida malabarica","",1874,8,24,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Malabar Lark","MALA","Passeriformes"
"87.7.1.3730","NHM Tring","Galerida malabarica","",1881,3,14,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Malabar Lark","MALA","Passeriformes"
"87.7.1.2509","NHM Tring","Galerida malabarica","",1881,2,4,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Malabar Lark","MALA","Passeriformes"
"87.7.1.3511","NHM Tring","Galerida malabarica","",1881,2,2,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Malabar Lark","MALA","Passeriformes"
