"catalogNumber","institutionCode","scientific_name","individualCount","year","month","day","locality","historical_site_code","decimalLatitude","decimalLongitude","collectedBy","coordinateUncertaintyInMeters","notes","common_name","species_code","order"
"BIB5","JournalData","Aegithina tiphia","3",1877,NA,NA,"Coonoor","CNRG",NA,NA,"","","","Common Iora","COIO","Passeriformes"
"86.9.1.192","NHM Tring","Aegithina tiphia","",1873,3,9,"Coonoor","CNRG",NA,NA,"F Day","","Hume coll.","Common Iora","COIO","Passeriformes"
"88.4.1.40","NHM Tring","Aegithina tiphia","",1878,4,NA,"Coonoor Ghat","CNRG",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Common Iora","COIO","Passeriformes"
"88.4.1.41","NHM Tring","Aegithina tiphia","",1878,9,23,"Coonoor Ghat","CNRG",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Common Iora","COIO","Passeriformes"
"86.9.1.196","NHM Tring","Aegithina tiphia","",1876,4,22,"Naduvattum","NDVT",NA,NA,"W Davison","","Hume coll.","Common Iora","COIO","Passeriformes"
"86.9.1.194","NHM Tring","Aegithina tiphia","",1876,4,28,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Common Iora","COIO","Passeriformes"
"34074","MCZ","Alcippe poioicephala","",1869,5,15,"Coonoor","CNRG",NA,NA,"","","","Brown-cheeked Fulvetta","BCFU","Passeriformes"
" 86.10.1.6460","NHM Tring","Alcippe poioicephala","",1869,5,14,"Coonoor","CNRG",NA,NA,"H R P Carter","","","Brown-cheeked Fulvetta","BCFU","Passeriformes"
" 86.10.1.6461","NHM Tring","Alcippe poioicephala","",1869,5,14,"Coonoor","CNRG",NA,NA,"H R P Carter","","","Brown-cheeked Fulvetta","BCFU","Passeriformes"
" 86.10.1.6462","NHM Tring","Alcippe poioicephala","",1869,5,15,"Coonoor","CNRG",NA,NA,"H R P Carter","","","Brown-cheeked Fulvetta","BCFU","Passeriformes"
" 86.10.1.6463","NHM Tring","Alcippe poioicephala","",1869,5,15,"Coonoor","CNRG",NA,NA,"H R P Carter","","","Brown-cheeked Fulvetta","BCFU","Passeriformes"
" 86.10.1.6464","NHM Tring","Alcippe poioicephala","",1869,4,15,"Coonoor","CNRG",NA,NA,"H R P Carter","","","Brown-cheeked Fulvetta","BCFU","Passeriformes"
" 86.10.1.6458","NHM Tring","Alcippe poioicephala","",1881,1,25,"Coonoor","CNRG",NA,NA,"W Davison","","","Brown-cheeked Fulvetta","BCFU","Passeriformes"
" 86.10.1.6452","NHM Tring","Alcippe poioicephala","",1881,3,27,"Gudalur","GDLR",NA,NA,"W Davison","","","Brown-cheeked Fulvetta","BCFU","Passeriformes"
" 86.10.1.6453","NHM Tring","Alcippe poioicephala","",1881,3,27,"Gudalur","GDLR",NA,NA,"W Davison","","","Brown-cheeked Fulvetta","BCFU","Passeriformes"
" 86.10.1.6456","NHM Tring","Alcippe poioicephala","",1872,NA,NA,"Naduvattum","NDVT",NA,NA,"","","","Brown-cheeked Fulvetta","BCFU","Passeriformes"
" 86.10.1.6457","NHM Tring","Alcippe poioicephala","",1871,NA,NA,"Naduvattum","NDVT",NA,NA,"","","","Brown-cheeked Fulvetta","BCFU","Passeriformes"
"88.9.20.788","NHM Tring","Amandava amandava","",1876,10,NA,"Coonoor","CNRG",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Red Avadavat","REAV","Passeriformes"
"88.9.20.787","NHM Tring","Amandava amandava","",1876,9,2,"Coonoor","CNRG",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Red Avadavat","REAV","Passeriformes"
"88.9.20.786","NHM Tring","Amandava amandava","",1876,10,2,"Coonoor","CNRG",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Red Avadavat","REAV","Passeriformes"
"82.6.8.27","NHM Tring","Amandava amandava","",1881,10,10,"Coonoor","CNRG",NA,NA,"W Davison","","","Red Avadavat","REAV","Passeriformes"
"87.7.1.2545","NHM Tring","Amandava amandava","",1881,1,24,"Coonoor","CNRG",NA,NA,"W Davison","","Hume coll.","Red Avadavat","REAV","Passeriformes"
"87.7.1.2547","NHM Tring","Amandava amandava","",1881,1,24,"Coonoor","CNRG",NA,NA,"W Davison","","Hume coll.","Red Avadavat","REAV","Passeriformes"
"87.7.1.2548","NHM Tring","Amandava amandava","",1874,9,17,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Red Avadavat","REAV","Passeriformes"
"87.7.1.2550","NHM Tring","Amandava amandava","",1874,9,17,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Red Avadavat","REAV","Passeriformes"
"87.7.1.2549","NHM Tring","Amandava amandava","",1874,9,17,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Red Avadavat","REAV","Passeriformes"
"87.7.1.2551","NHM Tring","Amandava amandava","",1874,9,17,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Red Avadavat","REAV","Passeriformes"
"88.9.20.789","NHM Tring","Amandava amandava","",1876,9,10,"Ootacamund","OTCM",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Red Avadavat","REAV","Passeriformes"
"87.7.1.2540","NHM Tring","Amandava amandava","",1876,4,3,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Red Avadavat","REAV","Passeriformes"
"87.7.1.2539","NHM Tring","Amandava amandava","",1876,4,5,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Red Avadavat","REAV","Passeriformes"
"87.7.1.2537","NHM Tring","Amandava amandava","",1876,4,19,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Red Avadavat","REAV","Passeriformes"
"87.7.1.2538","NHM Tring","Amandava amandava","",1876,4,19,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Red Avadavat","REAV","Passeriformes"
