modern_site_code,class,year_1870,year_2017,historical_site_code,longitude,latitude,ID,lc_change
GVSL1,Settlements,0,1,GVSL,76.64279,11.39221,14,1
HTHP1,Plantations (Tea & Timber),0,0.5,HTHP,76.817,11.35,15,0.5
KDND1,Agricultural Land,0,0.5,KDND,76.7,11.4667,16,0.5
KDND1,Plantations (Tea & Timber),0,0.25,KDND,76.7,11.4667,16,0.25
KKTG1,Plantations (Tea & Timber),0,0.5,KKTG,76.936,11.452,19,0.5
KKTG1,Settlements,0,0.33333333333333337,KKTG,76.936,11.452,19,0.33333333333333337
KLHT1,Agricultural Land,0,0.5,KLHT,76.68286,11.460672,20,0.5
KLHT1,Plantations (Tea & Timber),0,0.5,KLHT,76.68286,11.460672,20,0.5
KLHT1,Settlements,0,0.3333333333333333,KLHT,76.68286,11.460672,20,0.3333333333333333
KMFD1,Agricultural Land,0,0.3333333333333333,KMFD,76.896385,11.469283,21,0.3333333333333333
KMFD1,Plantations (Tea & Timber),0,0.5,KMFD,76.896385,11.469283,21,0.5
KMFD2,Plantations (Tea & Timber),0,0.33333333333333337,KMFD,76.91277,11.4477,22,0.33333333333333337
KMFD2,Settlements,0,1,KMFD,76.91277,11.4477,22,1
KNSL1,Plantations (Tea & Timber),0,0.19999999999999998,KNSL,76.906,11.451,23,0.19999999999999998
KNSL1,Settlements,0,1,KNSL,76.906,11.451,23,1
KUKL1,Agricultural Land,0,1,KUKL,76.863,11.433,24,1
KUKL1,Plantations (Tea & Timber),0,1,KUKL,76.863,11.433,24,1
KUKL1,Settlements,0,0.5,KUKL,76.863,11.433,24,0.5
LDNH2,Agricultural Land,0,1,LVDL,76.6962,11.36707,27,1
LDNH2,Plantations (Tea & Timber),0,0.14285714285714288,LVDL,76.6962,11.36707,27,0.14285714285714288
LWSL1,Plantations (Tea & Timber),0,0.5,LWSL,76.873,11.439,28,0.5
LWSL1,Settlements,0,1,LWSL,76.873,11.439,28,1
NDVT1,Plantations (Tea & Timber),0,0.3333333333333333,NDVT,76.549,11.488,29,0.3333333333333333
NDVT2,Agricultural Land,0,1,NDVT,76.548,11.478,30,1
NDVT2,Plantations (Tea & Timber),0,0.16666666666666666,NDVT,76.548,11.478,30,0.16666666666666666
NDVT2,Settlements,0,1,NDVT,76.548,11.478,30,1
OTCM1,Agricultural Land,0,0.14285714285714285,OTCM,76.696,11.412,31,0.14285714285714285
OTCM1,Plantations (Tea & Timber),0,0.25,OTCM,76.696,11.412,31,0.25
OTCM2,Agricultural Land,0,0.14285714285714285,OTCM,76.708,11.399,32,0.14285714285714285
