"class","Year","Area"
"agriculture","1848",144.439016626938
"agriculture","2018",102.065790494919
"plantations","1848",1.99398998124695
"plantations","2018",435.941928196793
"settlements","1848",4.27189049155426
"settlements","2018",14.9530841302567
"shola_forest","1848",136.383020759369
"shola_forest","2018",485.127947956635
"shola_grassland","1848",993.410828547295
"shola_grassland","2018",227.235690121536
"water_bodies","1848",3.47369641127777
"water_bodies","2018",18.6480019175415
