"","scientific_name","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"1","Acridotheres fuscus",1.79756493675009,0.56940468732959,-0.115658987995834,0.487425100930951,0.880956774366571,-0.461547298603401,0.100039065323923,0.03785243486869,-0.0731153648965065
"2","Acrocephalus dumetorum",-1.80108557007625,-0.122663570648221,0.00309733058754258,0.24671617417003,0.10905350472612,-0.735122934121557,-0.0867457157166227,0.156828647055253,-0.0549130587692881
"3","Aegithina tiphia",-1.8435400148765,0.166397852984078,-0.894949428737229,-0.442649182063007,0.00365739700123557,0.0297103089194524,0.162116614284669,-0.141699541249534,-0.032813219751652
"4","Alcippe poioicephala",-1.7611318845731,0.45996369800141,-0.102659058857131,-0.485964430404379,-0.105019357897483,0.285157501783262,-0.00706387615369913,-0.0398302580639879,-0.00755161162377387
"5","Amandava amandava",-2.7467003421149,-0.788116868646499,-0.184553560618462,-0.617104427844718,0.218606741752156,0.286612401974705,0.0631258624719913,-0.199846215191753,-0.0454040940723979
"6","Anthus nilghiriensis",-1.28622581186353,0.457164921002258,0.220872081418506,-0.0723473160264171,0.0433751819828785,0.106068898979648,-0.109329143246504,0.20833310595465,0.089462750609087
"7","Chalcophaps indica",0.72876064599109,0.506549127326934,1.32647518738527,1.56798357059453,-0.0468668972599498,0.281160589626282,-0.305231955526471,-0.0615710320627094,0.0200801604625363
"8","Chloropsis aurifrons",-0.194661949398679,-0.00836919321098622,-0.528713337292839,0.683492400776616,-0.307779598879527,-0.00843551653222181,-0.247363816752781,0.06169085665301,-0.0892029632923853
"9","Chrysocolaptes guttacristatus",5.88395238990273,-0.0860952873333722,-3.81719540462382,1.19216604566171,-0.000373045758827184,-0.140265416850045,0.485407492578758,-0.00950452159474414,0.086724742337292
"10","Columba elphinstonii",3.07476970860411,0.451324431801012,2.30211281952942,1.51966532095013,-0.893289091249927,0.505923238569554,-0.074661573508109,-0.385621329882464,-0.00556937106203692
"11","Cyornis pallidipes",-1.48121225099772,-0.124650877483433,-0.211374394861944,-0.130120436777454,-0.188515492939856,0.120125980050982,0.264070890393197,0.0638115349701377,0.062759061354015
"12","Dicaeum concolor",-3.11050849456509,-0.956208136830929,-0.040986923742339,0.416946765717493,0.0852613531559523,-0.350663810851422,-0.15338633559081,-0.0875469881011846,-0.0510442955693499
"13","Dicrurus aeneus",0.701325926932567,-1.43288423337275,0.221612149679388,0.541813347573329,-0.195301088513044,-0.374902624217327,0.627032278346164,-0.117973009060097,-0.0259307155616517
"14","Dicrurus paradiseus",3.96729586744291,-0.572720294489627,-0.242975550757618,-1.25434376998223,-1.4714204669537,-0.0368428684492891,0.146126073003491,0.174714231819239,0.0661839793290296
"15","Dumetia atriceps",-2.30873526130095,0.659060979431127,-0.48385804262368,-0.586150743296238,0.054139135228418,0.363275985845568,0.0197633399798322,-0.106535935625198,-0.105001906628989
"16","Eumyias albicaudatus",-1.83544550242629,-0.0759575050138814,0.243046938515583,-0.299070421679724,-0.219402042481665,0.107618324489489,0.255415610612594,-0.0978085233176477,0.0733218484392952
"17","Ficedula nigrorufa",-2.50560118124589,-0.234197977002892,0.0692585597951692,-0.231050278839015,0.0316117699117244,-0.235568699958509,0.200878721359578,-0.0914039219497514,0.0420651791942911
"18","Galerida malabarica",-0.316332548858466,-0.722293812289308,0.578394256103904,0.875340352121243,0.668533548035798,-0.235486943404184,-0.0838258373462007,0.137255229022648,0.193120499030715
"19","Galloperdix spadicea",1.93878888995435,1.85914664144265,1.41193542677976,-0.136620120474159,0.548831742880699,0.50303407657232,0.204775082042267,0.226461441990781,0.193892023349879
"20","Gallus sonneratii",6.16129183097357,3.39604641174322,1.80984618742169,-1.11960443914655,0.183711248589822,-0.757926504769979,0.351109652786639,-0.091186468228086,-0.0472111348347937
"21","Harpactes fasciatus",2.1063888826372,-2.51931131342688,1.49085816897625,-0.147404817579265,-0.232464677599837,-0.115436338490384,0.363413760000965,0.34203508995955,-0.0459484939766685
"22","Hemipus picatus",-2.35623925192834,-0.784297861309555,-0.21612397330269,-0.232789507469413,-0.377846210990694,0.0649054269740371,0.247697961890144,-0.117208692093118,0.0961148584597874
"23","Hypsipetes ganeesa",0.922854902966824,-0.317607964534208,-0.268299941766017,0.726171878328538,-0.744123958844086,0.113141774039948,-0.100287438862545,0.109481557466173,-0.145476388290766
"24","Iole indica",-0.566057221988649,-0.0151108532897559,-0.297944314010657,-0.0359159379767619,-0.446732435208208,0.286145516377768,0.108472052318179,0.0734796016076515,-0.0407971016621276
"25","Irena puella",1.84714951290861,-1.0760300846153,-0.462214047774931,0.320469535495718,-0.0466280106312003,0.356096925572391,0.266171587998908,-0.121631758106257,-0.0792020333396044
"26","Lanius schach",1.25439883296714,-0.125860039262789,0.107559097731199,-0.989876022565574,0.144282673938447,-0.0998347048522679,-0.321816800500998,0.241352768560132,-0.0079416995157655
"27","Larvivora brunnea",-1.78081493115685,0.400500084194077,0.284160250038352,0.183181417504097,0.439499672408705,-0.419618024263262,-0.146601004360763,-0.00399154520155862,0.0192103551346641
"28","Machlolophus aplonotus",-1.90925132259455,-0.445501447285122,0.242148678925367,-0.060928934462785,0.0670820926100144,0.0452071055112137,-0.100708934835421,-0.167530440694726,0.195556147889034
"29","Montecincla cachinnans",-0.418997701769624,1.6544198107499,-0.319030911577807,-0.753225673565534,-0.141933877737888,0.0707398240067549,-0.126767977215918,0.0925514831113776,-0.183400442920659
