"","scientific_name","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"30","Myophonus horsfieldii",2.71278986998146,1.90515106153589,-0.387781164489503,-0.15714472074777,0.304542219703945,-0.247343970866376,-0.205242854659258,-0.41710312075336,-0.0439669046118215
"31","Pellorneum ruficeps",-1.51912671706965,1.05886953143549,-0.371684285643573,-0.487316038533502,-0.0308890965682622,0.24674041567154,-0.197188105694172,0.0433416415719673,-0.0191013645742177
"32","Perdicula erythrorhyncha",-0.954367418273532,0.349040857982931,0.368437851855064,0.0624978252601175,0.8879244850502,0.697054348577514,0.290494253298445,0.185518405884912,-0.0446912531586412
"33","Pericrocotus flammeus",-0.337123188395116,-1.16765031216555,0.582231894613958,0.211291074682212,-0.303270317239445,-0.284785701324289,0.0264857983650285,0.21456750841126,0.00731613363988318
"34","Phylloscopus affinis",-3.02325256077728,-0.0658857575143678,0.189996392377521,-0.0901379336791527,-0.0730188970933707,-0.355307292016615,0.0974028418634979,-0.26241260003223,0.154714913043473
"35","Pomatorhinus horsfieldii",0.883270216423924,1.6013132603838,-1.7731549697014,-0.269161233959036,-0.509709982529967,-0.0538584940502524,-0.627188302805064,0.0579575728187325,0.186230492389812
"36","Prinia socialis",-2.83247352419403,0.437459607001383,-0.220055722329692,-0.456555627027375,-0.461245331170342,-0.266275015745603,-0.246469017023498,-0.0242050996853708,0.0334054200483037
"37","Psilopogon viridis",1.88201807260262,-0.650120564049464,-1.05633695174496,-0.308188898216273,1.16899749999554,0.491356031807416,0.160602520422705,-0.0688295407880037,-0.0408011358702732
"38","Psittacula columboides",5.77582369003998,-4.58827587247473,0.469984112773683,-1.45637012644061,0.577916717775577,0.064136247762665,-0.65431130053299,-0.220041269413427,0.0159749998928354
"39","Pycnonotus jocosus",-0.851422026118074,0.232647284013005,0.135526817989666,-0.404113166471603,-0.398315440256635,0.29082393582224,0.0835193354585277,0.00598710713350512,-0.0757849313893538
"40","Saxicola caprata",-1.91128157564418,0.141714499346945,0.00716758690865985,-0.09767498634501,0.0979572078365,-0.0833069115237565,0.050841710894188,-0.103990825342743,-0.114742115422983
"41","Sholicola major",-1.13346272045178,0.829152947359701,-0.0348392470592116,-0.260840252440711,0.223012651557916,0.283763046236756,0.11567285225071,0.188121427518624,0.0212584195649612
"42","Sitta frontalis",-1.8351241265533,-0.638505118917852,0.185738599857305,0.747538068025874,0.196353907955394,-0.173850189693313,0.0106915076216088,0.0428580221742775,0.0227652004301599
"43","Turdus simillimus",1.55732252178714,0.700463259073692,0.091965436651212,0.245073036914446,0.0726076365895623,0.149008941224613,-0.251093051971451,-0.000251505195825549,-0.00689336424328871
"44","Zoothera neilgherriensis",2.14684524646129,0.340190094883998,-0.434598821354021,1.14263964831824,0.101304212716281,0.0927698849510132,-0.548605230597064,0.201076479645254,-0.0602171592412758
"45","Zosterops palpebrosus",-2.7224368461153,-0.657666103855616,0.122563214950876,0.412257880988991,0.0849259420344589,-0.404197470763076,-0.107438592665673,0.0724479934359518,-0.133435060318782
