"class","Year","Area"
"agriculture","2017",118.398026326538
"agriculture","2018",94.1113896415405
"settlements","2017",53.8648333323975
"settlements","2018",48.970397803894
"shola_forest","2017",182.356420259033
"shola_forest","2018",209.779825724182
"shola_grassland","2017",92.017368305481
"shola_grassland","2018",148.413216584351
"tea_plantations","2017",368.722951794739
"tea_plantations","2018",366.897275088257
"timber_plantations","2017",272.172947911865
"timber_plantations","2018",213.456178673035
"water_bodies","2017",12.7976931188965
"water_bodies","2018",18.7019575336914
