"scientific_name","n"
"Accipiter badius",4
"Buceros bicornis",2
"Columba livia",2
"Coracina macei",1
"Ficedula subrubra",1
"Gymnoris xanthocollis",1
"Ictinaetus malaiensis",1
"Phylloscopus magnirostris",35
"Psittacula krameri",1
"Vanellus indicus",1
